Name	Sex	Birth	Games	Sport	Event	Status	Team	Pos	Medal	Nat
Élie, Count de Lastours	Male	1874	1900 Summer Olympics	Fencing	Épée, Individual, Men	Olympic		AC p1 r3/4		France
Élie, Count de Lastours	Male	1874	1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Guy, Baron Lejeune	=5		France
Élie, Count de Lastours	Male	1874	1900 Summer Olympics	Tennis	Doubles, Handicap, Mixed	Olympic (non-medal)	Charlotte Cooper	=5		France
Élie, Count de Lastours	Male	1874	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Guy, Baron Lejeune	=5		France
Max Décugis	Male	1882	1900 Summer Olympics	Tennis	Singles, Men	Olympic		DNS		France
Max Décugis	Male	1882	1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Spalding de Garmendia	2	Silver	France
Max Décugis	Male	1882	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Spalding de Garmendia	1		France
Max Décugis	Male	1882	1906 Intercalated Games	Tennis	Singles, Men	Intercalated		1	Gold	France
Max Décugis	Male	1882	1906 Intercalated Games	Tennis	Doubles, Mixed	Intercalated	Marie Décugis	1	Gold	France
Max Décugis	Male	1882	1906 Intercalated Games	Tennis	Doubles, Men	Intercalated	Maurice Germot	1	Gold	France
Max Décugis	Male	1882	1908 Summer Olympics	Tennis	Singles, Men	Olympic		DNS		France
Max Décugis	Male	1882	1908 Summer Olympics	Tennis	Doubles, Men	Olympic	Maurice Germot	DNS		France
Max Décugis	Male	1882	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Mixed	Olympic	Marie Décugis	DNS		France
Max Décugis	Male	1882	1912 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		DNS		France
Max Décugis	Male	1882	1920 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Max Décugis	Male	1882	1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Suzanne Lenglen	1	Gold	France
Max Décugis	Male	1882	1920 Summer Olympics	Tennis	Doubles, Men	Olympic	Pierre Albarran	3	Bronze	France
J. Defert	Male		1896 Summer Olympics	Tennis	Singles, Men	Olympic		=8		France
J. Defert	Male		1896 Summer Olympics	Tennis	Doubles, Men	Olympic	André Vacherot	DNS		France
Étienne Durand	Male		1900 Summer Olympics	Tennis	Singles, Men	Olympic		=8		France
Étienne Durand	Male		1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Adrien Fauchier-Magnan	=5		France
Étienne Durand	Male		1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Adrien Fauchier-Magnan	=3		France
Damien Éloi	Male	1969	1992 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Jean-Philippe Gatien	=5		France
Damien Éloi	Male	1969	1996 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Jean-Philippe Gatien	=5		France
Damien Éloi	Male	1969	2000 Summer Olympics	Table Tennis	Singles, Men	Olympic		=9		France
Damien Éloi	Male	1969	2000 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Christophe Legoût	=5		France
Damien Éloi	Male	1969	2008 Summer Olympics	Table Tennis	Singles, Men	Olympic		=33		France
Adrien Fauchier-Magnan	Male	1873	1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Étienne Durand	=5		France
Adrien Fauchier-Magnan	Male	1873	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Étienne Durand	=3		France
Guy Forget	Male	1965	1984 Summer Olympics	Tennis	Singles, Men	Olympic (non-medal)		=5		France
Guy Forget	Male	1965	1988 Summer Olympics	Tennis	Singles, Men	Olympic		=9		France
Guy Forget	Male	1965	1988 Summer Olympics	Tennis	Doubles, Men	Olympic	Henri Leconte	=5		France
Guy Forget	Male	1965	1992 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Guy Forget	Male	1965	1992 Summer Olympics	Tennis	Doubles, Men	Olympic	Henri Leconte	=9		France
Jean-Philippe Gatien	Male	1968	1988 Summer Olympics	Table Tennis	Singles, Men	Olympic		=33		France
Jean-Philippe Gatien	Male	1968	1988 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Patrick Birocheau	=17		France
Jean-Philippe Gatien	Male	1968	1992 Summer Olympics	Table Tennis	Singles, Men	Olympic		2	Silver	France
Jean-Philippe Gatien	Male	1968	1992 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Damien Éloi	=5		France
Jean-Philippe Gatien	Male	1968	1996 Summer Olympics	Table Tennis	Singles, Men	Olympic		=17		France
Jean-Philippe Gatien	Male	1968	1996 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Damien Éloi	=5		France
Jean-Philippe Gatien	Male	1968	2000 Summer Olympics	Table Tennis	Singles, Men	Olympic		=17		France
Jean-Philippe Gatien	Male	1968	2000 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Patrick Chila	3	Bronze	France
Maurice Germot	Male	1882	1900 Summer Olympics	Tennis	Doubles, Handicap, Mixed	Olympic (non-medal)	Antoinette Gillou	2		France
Maurice Germot	Male	1882	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Finger	2		France
Maurice Germot	Male	1882	1906 Intercalated Games	Tennis	Singles, Men	Intercalated		2	Silver	France
Maurice Germot	Male	1882	1906 Intercalated Games	Tennis	Doubles, Men	Intercalated	Max Décugis	1	Gold	France
Maurice Germot	Male	1882	1908 Summer Olympics	Tennis	Singles, Men	Olympic		=5		France
Maurice Germot	Male	1882	1908 Summer Olympics	Tennis	Doubles, Men	Olympic	Max Décugis	DNS		France
Maurice Germot	Male	1882	1912 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		=9		France
Maurice Germot	Male	1882	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Men	Olympic	André Gobert	1	Gold	France
André Gobert	Male	1890	1912 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		1	Gold	France
André Gobert	Male	1890	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Men	Olympic	Maurice Germot	1	Gold	France
Pierre Hirsch	Male		1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Élisabeth d'Ayen	=8		France
René Lacoste	Male	1904	1924 Summer Olympics	Tennis	Singles, Men	Olympic		=5		France
René Lacoste	Male	1904	1924 Summer Olympics	Tennis	Doubles, Men	Olympic	Jean Borotra	3	Bronze	France
Daniel Lawton	Male	1881	1912 Summer Olympics	Tennis	Singles, Men	Olympic		DNS		France
Daniel Lawton	Male	1881	1912 Summer Olympics	Tennis	Doubles, Men	Olympic	Jean-Pierre Samazeuilh	DNS		France
Daniel Lawton	Male	1881	1920 Summer Olympics	Tennis	Doubles, Men	Olympic	Jean-Pierre Samazeuilh	=9		France
Paul Lebréton	Male	1875	1900 Summer Olympics	Tennis	Singles, Men	Olympic		=8		France
Paul Lebréton	Male	1875	1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Paul Lecaron	=5		France
Paul Lebréton	Male	1875	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Paul Lecaron	=3		France
Paul Lecaron	Male	1863	1900 Summer Olympics	Tennis	Singles, Men	Olympic		=5		France
Paul Lecaron	Male	1863	1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Paul Lebréton	=5		France
Paul Lecaron	Male	1863	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Paul Lebréton	=3		France
Henri Leconte	Male	1963	1988 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Henri Leconte	Male	1963	1988 Summer Olympics	Tennis	Doubles, Men	Olympic	Guy Forget	=5		France
Henri Leconte	Male	1963	1992 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Henri Leconte	Male	1963	1992 Summer Olympics	Tennis	Doubles, Men	Olympic	Guy Forget	=9		France
Christophe Legoût	Male	1973	1996 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Patrick Chila	=9		France
Christophe Legoût	Male	1973	2000 Summer Olympics	Table Tennis	Singles, Men	Olympic		=9		France
Christophe Legoût	Male	1973	2000 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Damien Éloi	=5		France
Christophe Legoût	Male	1973	2008 Summer Olympics	Table Tennis	Singles, Men	Olympic		=49		France
Guy, Baron Lejeune	Male		1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Élie, Count de Lastours	=5		France
Guy, Baron Lejeune	Male		1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Élie, Count de Lastours	=5		France
Albert Lippmann	Male		1900 Summer Olympics	Tennis	Singles, Men	Olympic		=8		France
Édouard Mény de Marangue	Male	1882	1912 Summer Olympics	Tennis	Singles, Men	Olympic		=31		France
Édouard Mény de Marangue	Male	1882	1912 Summer Olympics	Tennis	Doubles, Men	Olympic	Albert Canet	3	Bronze	France
André Prévost	Male	1860	1900 Summer Olympics	Tennis	Singles, Men	Olympic		=8		France
André Prévost	Male	1860	1900 Summer Olympics	Tennis	Doubles, Men	Olympic	Guy de la Chapelle	=3	Bronze	France
André Prévost	Male	1860	1900 Summer Olympics	Tennis	Doubles, Handicap, Mixed	Olympic (non-medal)	Yvonne Prévost	1		France
André Prévost	Male	1860	1900 Summer Olympics	Tennis	Singles, Handicap, Men	Olympic (non-medal)		1		France
André Prévost	Male	1860	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Reggie Doherty	=5		France
Guillaume Raoux	Male	1970	1996 Summer Olympics	Tennis	Singles, Men	Olympic		=33		France
Guillaume Raoux	Male	1970	1996 Summer Olympics	Tennis	Doubles, Men	Olympic	Arnaud Boetsch	=17		France
Stéphane Renault	Male	1968	1992 Summer Olympics	Badminton	Singles, Men	Olympic		=33		France
Jean-Pierre Samazeuilh	Male	1891	1912 Summer Olympics	Tennis	Singles, Men	Olympic		DNS		France
Jean-Pierre Samazeuilh	Male	1891	1912 Summer Olympics	Tennis	Doubles, Men	Olympic	Daniel Lawton	DNS		France
Jean-Pierre Samazeuilh	Male	1891	1920 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Jean-Pierre Samazeuilh	Male	1891	1920 Summer Olympics	Tennis	Doubles, Men	Olympic	Daniel Lawton	=9		France
Fabrice Santoro	Male	1972	1992 Summer Olympics	Tennis	Singles, Men	Olympic		=5		France
Fabrice Santoro	Male	1972	2000 Summer Olympics	Tennis	Singles, Men	Olympic		=9		France
Fabrice Santoro	Male	1972	2004 Summer Olympics	Tennis	Singles, Men	Olympic		=17		France
Fabrice Santoro	Male	1972	2004 Summer Olympics	Tennis	Doubles, Men	Olympic	Michaël Llodra	=5		France
Étienne Thobois	Male	1967	1996 Summer Olympics	Badminton	Singles, Men	Olympic		=33		France
Pierre Verdé-Delisle	Male	1877	1900 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Antoinette Gillou	=5		France
Pierre Verdé-Delisle	Male	1877	1900 Summer Olympics	Tennis	Doubles, Handicap, Mixed	Olympic (non-medal)	Katie Gillou	=5		France
Pierre Verdé-Delisle	Male	1877	1900 Summer Olympics	Tennis	Doubles, Handicap, Men	Olympic (non-medal)	Archibald Warden	2		France
Helen Aitchison	Female	1881	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Mixed	Olympic	Roper Barrett	2	Silver	Great Britain
Helen Aitchison	Female	1881	1912 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		=5		Great Britain
Geraldine Beamish	Female	1883	1920 Summer Olympics	Tennis	Singles, Women	Olympic		=9		Great Britain
Geraldine Beamish	Female	1883	1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Alfred Beamish	=8		Great Britain
Geraldine Beamish	Female	1883	1920 Summer Olympics	Tennis	Doubles, Women	Olympic	Dorothy Holman	2	Silver	Great Britain
Dora Boothby	Female	1881	1908 Summer Olympics	Tennis	Singles, Women	Olympic		2	Silver	Great Britain
Dora Boothby	Female	1881	1908 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		=5		Great Britain
Julie Bradbury	Female	1967	1992 Summer Olympics	Badminton	Doubles, Women	Olympic	Gillian Clark	=5		Great Britain
Julie Bradbury	Female	1967	1996 Summer Olympics	Badminton	Doubles, Mixed	Olympic	Simon Archer	=17		Great Britain
Julie Bradbury	Female	1967	1996 Summer Olympics	Badminton	Doubles, Women	Olympic	Joanne Wright	=9		Great Britain
Gillian Clark	Female	1961	1992 Summer Olympics	Badminton	Doubles, Women	Olympic	Julie Bradbury	=5		Great Britain
Mildred Coles	Female	1876	1908 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		=5		Great Britain
Evelyn Colyer	Female	1902	1924 Summer Olympics	Tennis	Doubles, Women	Olympic	Dorothy Shepherd-Barron	3	Bronze	Great Britain
Charlotte Cooper	Female	1870	1900 Summer Olympics	Tennis	Singles, Women	Olympic		1	Gold	Great Britain
Charlotte Cooper	Female	1870	1900 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Reggie Doherty	1	Gold	Great Britain
Charlotte Cooper	Female	1870	1900 Summer Olympics	Tennis	Doubles, Handicap, Mixed	Olympic (non-medal)	Élie, Count de Lastours	=5		Great Britain
Charlotte Cooper	Female	1870	1900 Summer Olympics	Tennis	Singles, Handicap, Women	Olympic (non-medal)		2		Great Britain
Charlotte Cooper	Female	1870	1908 Summer Olympics	Tennis	Singles, Women	Olympic		DNS		Great Britain
Phyllis Covell	Female	1895	1924 Summer Olympics	Tennis	Singles, Women	Olympic		=9		Great Britain
Phyllis Covell	Female	1895	1924 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Leslie Godfree	=5		Great Britain
Phyllis Covell	Female	1895	1924 Summer Olympics	Tennis	Doubles, Women	Olympic	Kitty McKane	2	Silver	Great Britain
Gladys Eastlake-Smith	Female	1883	1908 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		1	Gold	Great Britain
Sara Gomer	Female	1964	1988 Summer Olympics	Tennis	Singles, Women	Olympic		=17		Great Britain
Sara Gomer	Female	1964	1988 Summer Olympics	Tennis	Doubles, Women	Olympic	Clare Wood	=9		Great Britain
Sara Gomer	Female	1964	1992 Summer Olympics	Tennis	Singles, Women	Olympic		=33		Great Britain
Alison Gordon	Female	1962	1992 Summer Olympics	Table Tennis	Singles, Women	Olympic		=17		Great Britain
Gillian Gowers	Female	1964	1992 Summer Olympics	Badminton	Doubles, Women	Olympic	Sara Sankey	=9		Great Britain
Alice Greene	Female	1879	1908 Summer Olympics	Tennis	Singles, Women	Olympic		5		Great Britain
Alice Greene	Female	1879	1908 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		2	Silver	Great Britain
Edith Hannam	Female	1878	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Mixed	Olympic	Charles Dixon	1	Gold	Great Britain
Edith Hannam	Female	1878	1912 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		1	Gold	Great Britain
Dorothy Holman	Female	1883	1920 Summer Olympics	Tennis	Singles, Women	Olympic		2	Silver	Great Britain
Dorothy Holman	Female	1883	1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Gordon Lowe	=14		Great Britain
Dorothy Holman	Female	1883	1920 Summer Olympics	Tennis	Doubles, Women	Olympic	Geraldine Beamish	2	Silver	Great Britain
Andrea Holt	Female	1970	1992 Summer Olympics	Table Tennis	Doubles, Women	Olympic	Lisa Lomas	=9		Great Britain
Andrea Holt	Female	1970	1996 Summer Olympics	Table Tennis	Doubles, Women	Olympic	Lisa Lomas	=17		Great Britain
Monique Javer	Female	1967	1992 Summer Olympics	Tennis	Singles, Women	Olympic		=33		Great Britain
Valda Lake	Female	1968	1996 Summer Olympics	Tennis	Doubles, Women	Olympic	Clare Wood	=5		Great Britain
Dorothy Lambert Chambers	Female	1878	1908 Summer Olympics	Tennis	Singles, Women	Olympic		1	Gold	Great Britain
Dorothy Lambert Chambers	Female	1878	1908 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		DNS		Great Britain
Lisa Lomas	Female	1967	1992 Summer Olympics	Table Tennis	Singles, Women	Olympic		=33		Great Britain
Lisa Lomas	Female	1967	1992 Summer Olympics	Table Tennis	Doubles, Women	Olympic	Andrea Holt	=9		Great Britain
Lisa Lomas	Female	1967	1996 Summer Olympics	Table Tennis	Singles, Women	Olympic		=33		Great Britain
Lisa Lomas	Female	1967	1996 Summer Olympics	Table Tennis	Doubles, Women	Olympic	Andrea Holt	=17		Great Britain
Kitty McKane	Female	1896	1920 Summer Olympics	Tennis	Singles, Women	Olympic		3	Bronze	Great Britain
Kitty McKane	Female	1896	1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Max Woosnam	2	Silver	Great Britain
Kitty McKane	Female	1896	1920 Summer Olympics	Tennis	Doubles, Women	Olympic	Winifred McNair	1	Gold	Great Britain
Kitty McKane	Female	1896	1924 Summer Olympics	Tennis	Singles, Women	Olympic		3	Bronze	Great Britain
Kitty McKane	Female	1896	1924 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Brian Gilbert	4		Great Britain
Kitty McKane	Female	1896	1924 Summer Olympics	Tennis	Doubles, Women	Olympic	Phyllis Covell	2	Silver	Great Britain
Winifred McNair	Female	1877	1920 Summer Olympics	Tennis	Singles, Women	Olympic		=9		Great Britain
Winifred McNair	Female	1877	1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Noel Turnbull	=14		Great Britain
Winifred McNair	Female	1877	1920 Summer Olympics	Tennis	Doubles, Women	Olympic	Kitty McKane	1	Gold	Great Britain
Kelly Morgan	Female	1975	1996 Summer Olympics	Badminton	Singles, Women	Olympic		=9		Great Britain
Kelly Morgan	Female	1975	1996 Summer Olympics	Badminton	Doubles, Women	Olympic	Joanne Muggeridge	=17		Great Britain
Kelly Morgan	Female	1975	2000 Summer Olympics	Badminton	Singles, Women	Olympic		=9		Great Britain
Kelly Morgan	Female	1975	2004 Summer Olympics	Badminton	Singles, Women	Olympic		=9		Great Britain
Agatha Morton	Female	1872	1908 Summer Olympics	Tennis	Singles, Women	Olympic		4		Great Britain
Joanne Muggeridge	Female	1969	1992 Summer Olympics	Badminton	Singles, Women	Olympic		=9		Great Britain
Joanne Muggeridge	Female	1969	1996 Summer Olympics	Badminton	Singles, Women	Olympic		=33		Great Britain
Joanne Muggeridge	Female	1969	1996 Summer Olympics	Badminton	Doubles, Mixed	Olympic	Chris Hunt	=17		Great Britain
Joanne Muggeridge	Female	1969	1996 Summer Olympics	Badminton	Doubles, Women	Olympic	Kelly Morgan	=17		Great Britain
Mabel Parton	Female	1881	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Mixed	Olympic	Theodore Mavrogordato	=5		Great Britain
Mabel Parton	Female	1881	1912 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		3	Bronze	Great Britain
Violet Pinckney	Female	1871	1908 Summer Olympics	Tennis	Singles, Covered Courts, Women	Olympic		=5		Great Britain
Sara Sankey	Female	1967	1992 Summer Olympics	Badminton	Doubles, Women	Olympic	Gillian Gowers	=9		Great Britain
Phyllis Satterthwaite	Female	1886	1924 Summer Olympics	Tennis	Singles, Women	Olympic		=9		Great Britain
Dorothy Shepherd-Barron	Female	1897	1924 Summer Olympics	Tennis	Singles, Women	Olympic		=5		Great Britain
Dorothy Shepherd-Barron	Female	1897	1924 Summer Olympics	Tennis	Doubles, Women	Olympic	Evelyn Colyer	3	Bronze	Great Britain
Samantha Smith	Female	1971	1992 Summer Olympics	Tennis	Singles, Women	Olympic		=17		Great Britain
Samantha Smith	Female	1971	1992 Summer Olympics	Tennis	Doubles, Women	Olympic	Clare Wood	=17		Great Britain
Helen Troke	Female	1964	1992 Summer Olympics	Badminton	Singles, Women	Olympic		=17		Great Britain
Ruth Winch	Female	1870	1908 Summer Olympics	Tennis	Singles, Women	Olympic		3	Bronze	Great Britain
Clare Wood	Female	1968	1988 Summer Olympics	Tennis	Singles, Women	Olympic		=33		Great Britain
Clare Wood	Female	1968	1988 Summer Olympics	Tennis	Doubles, Women	Olympic	Sara Gomer	=9		Great Britain
Clare Wood	Female	1968	1992 Summer Olympics	Tennis	Doubles, Women	Olympic	Samantha Smith	=17		Great Britain
Clare Wood	Female	1968	1996 Summer Olympics	Tennis	Singles, Women	Olympic		=33		Great Britain
Clare Wood	Female	1968	1996 Summer Olympics	Tennis	Doubles, Women	Olympic	Valda Lake	=5		Great Britain
Joanne Wright-Goode	Female	1972	1996 Summer Olympics	Badminton	Doubles, Mixed	Olympic	Nick Ponting	=9		Great Britain as Joanne Wright
Joanne Wright-Goode	Female	1972	1996 Summer Olympics	Badminton	Doubles, Women	Olympic	Julie Bradbury	=9		Great Britain as Joanne Wright
Joanne Wright-Goode	Female	1972	2000 Summer Olympics	Badminton	Doubles, Mixed	Olympic	Simon Archer	3	Bronze	Great Britain as Joanne Goode
Joanne Wright-Goode	Female	1972	2000 Summer Olympics	Badminton	Doubles, Women	Olympic	Donna Kellogg	=5		Great Britain as Joanne Goode
Sky Andrew	Male	1962	1988 Summer Olympics	Table Tennis	Doubles, Men	Olympic	Desmond Douglas	=9		Great Britain
Simon Archer	Male	1973	1996 Summer Olympics	Badminton	Doubles, Mixed	Olympic	Julie Bradbury	=17		Great Britain
Simon Archer	Male	1973	1996 Summer Olympics	Badminton	Doubles, Men	Olympic	Chris Hunt	=5		Great Britain
Simon Archer	Male	1973	2000 Summer Olympics	Badminton	Doubles, Mixed	Olympic	Joanne Goode	3	Bronze	Great Britain
Simon Archer	Male	1973	2000 Summer Olympics	Badminton	Doubles, Men	Olympic	Nathan Robertson	=5		Great Britain
Roper Barrett	Male	1873	1908 Summer Olympics	Tennis	Singles, Men	Olympic		DNS		Great Britain
Roper Barrett	Male	1873	1908 Summer Olympics	Tennis	Doubles, Men	Olympic	Arthur Wentworth Gore	DNS		Great Britain
Roper Barrett	Male	1873	1908 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		DNS		Great Britain
Roper Barrett	Male	1873	1908 Summer Olympics	Tennis	Doubles, Covered Courts, Men	Olympic	Arthur Wentworth Gore	1	Gold	Great Britain
Roper Barrett	Male	1873	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Mixed	Olympic	Helen Aitchison	2	Silver	Great Britain
Roper Barrett	Male	1873	1912 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		=9		Great Britain
Roper Barrett	Male	1873	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Men	Olympic	Arthur Wentworth Gore	4		Great Britain
Jeremy Bates	Male	1962	1988 Summer Olympics	Tennis	Singles, Men	Olympic		=17		Great Britain
Jeremy Bates	Male	1962	1988 Summer Olympics	Tennis	Doubles, Men	Olympic	Andrew Castle	=17		Great Britain
Alfred Beamish	Male	1879	1912 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		=16		Great Britain
Alfred Beamish	Male	1879	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Men	Olympic	Charles Dixon	3	Bronze	Great Britain
Alfred Beamish	Male	1879	1920 Summer Olympics	Tennis	Singles, Men	Olympic		=9		Great Britain
Alfred Beamish	Male	1879	1920 Summer Olympics	Tennis	Doubles, Mixed	Olympic	Geraldine Beamish	=8		Great Britain
Alfred Beamish	Male	1879	1920 Summer Olympics	Tennis	Doubles, Men	Olympic	Gordon Lowe	=17		Great Britain
John Pius Boland	Male	1870	1896 Summer Olympics	Tennis	Singles, Men	Olympic		1	Gold	Great Britain
John Pius Boland	Male	1870	1896 Summer Olympics	Tennis	Doubles, Men	Olympic	Fritz Traun	1	Gold	Great Britain
Neil Broad	Male	1966	1996 Summer Olympics	Tennis	Doubles, Men	Olympic	Tim Henman	2	Silver	Great Britain
George Caridia	Male	1869	1908 Summer Olympics	Tennis	Singles, Men	Olympic		=5		Great Britain
George Caridia	Male	1869	1908 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		2	Silver	Great Britain
George Caridia	Male	1869	1908 Summer Olympics	Tennis	Doubles, Covered Courts, Men	Olympic	George Simond	2	Silver	Great Britain
George Caridia	Male	1869	1912 Summer Olympics	Tennis	Singles, Covered Courts, Men	Olympic		=5		Great Britain
George Caridia	Male	1869	1912 Summer Olympics	Tennis	Doubles, Covered Courts, Men	Olympic	Theodore Mavrogordato	=7		Great Britain
Andrew Castle	Male	1963	1988 Summer Olympics	Tennis	Singles, Men	Olympic		=17		Great Britain
