Name	Sex	Birth	Games	Sport	Event	Status	Team	Pos	Medal	Nat
Usama Aziz	Male	1972	1992 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC		Sweden
Usama Aziz	Male	1972	1996 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		14		Sweden
Arvid Beckman	Male	1889	1912 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC r4/8		Sweden
Theodor Bergqvist	Male	1885	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r2/8		Sweden
Per Berlin	Male	1921	1952 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		2	Silver	Sweden
Per Berlin	Male	1921	1956 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Per Berlin	Male	1921	1956 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		=4		Sweden
Fariborz Besarati	Male	1966	1992 Summer Olympics	Wrestling	Light-Flyweight, Freestyle, Men	Olympic		AC		Sweden
Fariborz Besarati	Male	1966	1996 Summer Olympics	Wrestling	Light-Flyweight, Freestyle, Men	Olympic		14		Sweden
Hugo Björklund	Male	1885	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r3/8		Sweden
Otto Borgström	Male	1895	1920 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		=5		Sweden
Otto Borgström	Male	1895	1924 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		=13		Sweden
Anders Bükk	Male	1963	1984 Summer Olympics	Wrestling	Flyweight, Greco-Roman, Men	Olympic		AC		Sweden
Axel Cadier	Male	1906	1932 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Axel Cadier	Male	1906	1936 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Åke Carlsson	Male	1936	1960 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		8		Sweden
Harry Challstorp	Male	1884	1908 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		=17		Sweden
Harry Challstorp	Male	1884	1908 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		=9		Sweden
Sören Claeson	Male	1959	1980 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		AC		Sweden
Sören Claeson	Male	1959	1984 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Sören Claeson	Male	1959	1988 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		AC		Sweden
Theodor Dahlberg	Male	1884	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r2/8		Sweden
Theodore Dikanda	Male	1966	1988 Summer Olympics	Wrestling	Featherweight, Freestyle, Men	Olympic		AC		Sweden
Karl Ekman	Male	1892	1912 Summer Olympics	Wrestling	Middleweight B, Greco-Roman, Men	Olympic		AC r2/7		Sweden
Kurt Elmgren	Male	1943	1972 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		AC		Sweden
Lennart Eriksson	Male	1939	1964 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Bengt Fahlkvist	Male	1922	1948 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		3	Bronze	Sweden
Bengt Fahlkvist	Male	1922	1952 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		=6		Sweden
Bror Flygare	Male	1888	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r2/8		Sweden
Ragnar Fogelmark	Male	1888	1912 Summer Olympics	Wrestling	Middleweight B, Greco-Roman, Men	Olympic		AC r2/7		Sweden
Axel Frank	Male	1882	1908 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		=5		Sweden
Axel Frank	Male	1882	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r3/8		Sweden
Magnus Fredriksson	Male	1960	1988 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		6		Sweden
Magnus Fredriksson	Male	1960	1992 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		4		Sweden
Gustav Freij	Male	1922	1948 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Gustav Freij	Male	1922	1952 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Gustav Freij	Male	1922	1960 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Leif Freij	Male	1943	1960 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		16		Sweden
Knut Fridell	Male	1908	1936 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		1	Gold	Sweden
Gösta Jönsson-Frändfors	Male	1915	1936 Summer Olympics	Wrestling	Featherweight, Freestyle, Men	Olympic		3	Bronze	Sweden as Gösta Jönsson
Gösta Jönsson-Frändfors	Male	1915	1948 Summer Olympics	Wrestling	Lightweight, Freestyle, Men	Olympic		2	Silver	Sweden as Gösta Frändfors
Bengt Frännfors	Male	1936	1960 Summer Olympics	Wrestling	Flyweight, Greco-Roman, Men	Olympic		8		Sweden
Bengt Frännfors	Male	1936	1960 Summer Olympics	Wrestling	Flyweight, Freestyle, Men	Olympic		=13		Sweden
Edvin Fältström	Male	1890	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r5/8		Sweden
Edvin Fältström	Male	1890	1920 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		AC r3/5		Sweden
Axel Grönberg	Male	1918	1948 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Axel Grönberg	Male	1918	1952 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Christer Gulldén	Male	1960	1988 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		4		Sweden
Lars Gustafsson	Male	1966	1988 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		AC		Sweden
Karl-Johan Gustavsson	Male	1958	1984 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		=7		Sweden
Karl-Johan Gustavsson	Male	1958	1984 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Sigfrid Hansson	Male	1901	1924 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		4		Sweden
Sigfrid Hansson	Male	1901	1924 Summer Olympics	Wrestling	Featherweight, Freestyle, Men	Olympic		=8		Sweden
Henry Holmberg	Male	1924	1952 Summer Olympics	Wrestling	Featherweight, Freestyle, Men	Olympic		AC		Sweden
Gunnar Håkansson	Male	1926	1952 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC		Sweden
Gunnar Håkansson	Male	1926	1956 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		5		Sweden
Leopold Israelsson	Male	1934	1960 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		=12		Sweden
Rune Jansson	Male	1932	1956 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Rune Jansson	Male	1932	1960 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		16		Sweden
Bengt Johansson	Male	1926	1952 Summer Olympics	Wrestling	Flyweight, Greco-Roman, Men	Olympic		=5		Sweden
Bengt Johansson	Male	1926	1956 Summer Olympics	Wrestling	Flyweight, Greco-Roman, Men	Olympic		AC		Sweden
Claes Johanson	Male	1884	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		1	Gold	Sweden
Claes Johanson	Male	1884	1920 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Claes Johanson	Male	1884	1924 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		=13		Sweden
Fritz Johansson	Male	1893	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r4/8		Sweden
Hugo Johansson	Male	1888	1912 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC r5/8		Sweden
Ivar Johansson	Male	1903	1928 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		=9		Sweden
Ivar Johansson	Male	1903	1932 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Ivar Johansson	Male	1903	1932 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		1	Gold	Sweden
Ivar Johansson	Male	1903	1936 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Kent-Olle Johansson	Male	1960	1984 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Rolf Johansson	Male	1929	1952 Summer Olympics	Wrestling	Flyweight, Freestyle, Men	Olympic		AC		Sweden
Thure Johansson	Male	1912	1948 Summer Olympics	Wrestling	Flyweight, Freestyle, Men	Olympic		3	Bronze	Sweden
Tomas Johansson	Male	1962	1984 Summer Olympics	Wrestling	Super-Heavyweight, Greco-Roman, Men	Olympic		AC		Sweden
Tomas Johansson	Male	1962	1988 Summer Olympics	Wrestling	Super-Heavyweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Tomas Johansson	Male	1962	1992 Summer Olympics	Wrestling	Super-Heavyweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Tomas Johansson	Male	1962	1996 Summer Olympics	Wrestling	Super-Heavyweight, Greco-Roman, Men	Olympic		7		Sweden
Rune Johnsson	Male	1933	1964 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC		Sweden
Carl Johnson	Male	1883	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r2/8		Sweden
David Karlsson	Male	1881	1912 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		AC r2/7		Sweden
Einar Karlsson	Male	1908	1932 Summer Olympics	Wrestling	Featherweight, Freestyle, Men	Olympic		3	Bronze	Sweden
Einar Karlsson	Male	1908	1936 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Jan Karlsson	Male	1945	1968 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC		Sweden
Jan Karlsson	Male	1945	1968 Summer Olympics	Wrestling	Lightweight, Freestyle, Men	Olympic		AC		Sweden
Jan Karlsson	Male	1945	1972 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Jan Karlsson	Male	1945	1972 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		2	Silver	Sweden
Jan Karlsson	Male	1945	1976 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		7		Sweden
Jan Karlsson	Male	1945	1976 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		AC		Sweden
Karl Karlsson	Male	1887	1912 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC r2/8		Sweden
Gustaf Klarén	Male	1906	1932 Summer Olympics	Wrestling	Lightweight, Freestyle, Men	Olympic		3	Bronze	Sweden
Marthin Kornbakk	Male	1964	1992 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC		Sweden
Torbjörn Kornbakk	Male	1965	1992 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Torbjörn Kornbakk	Male	1965	1996 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		10		Sweden
Jan Kårström	Male	1944	1968 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		6		Sweden
Jan Kårström	Male	1944	1972 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		AC		Sweden
Lars Lagerborg	Male	1967	1988 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC		Sweden
Anders Larsson	Male	1892	1920 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		1	Gold	Sweden
Fritz Larsson	Male	1882	1908 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		=5		Sweden
Harry Larsson	Male	1888	1912 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC r5/8		Sweden
Ragnar Larsson	Male	1901	1924 Summer Olympics	Wrestling	Bantamweight, Freestyle, Men	Olympic		4		Sweden
Martin Lidberg	Male	1973	1996 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		6		Sweden
Martin Lidberg	Male	1973	2000 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		7		Sweden
Martin Lidberg	Male	1973	2004 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		18		Sweden
Holger Lindberg	Male	1894	1920 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r2/5		Sweden
Bengt Lindblad	Male	1925	1952 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		AC		Sweden
Bengt Lindblad	Male	1925	1956 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		AC		Sweden
Ludvig Lindblom	Male	1910	1932 Summer Olympics	Wrestling	Welterweight, Freestyle, Men	Olympic		AC		Sweden
Ludvig Lindblom	Male	1910	1936 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		AC		Sweden
Oscar Lindelöf	Male	1903	1928 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		4		Sweden
Oscar Lindelöf	Male	1903	1932 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC		Sweden
Erik Lindén	Male	1911	1948 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		3	Bronze	Sweden
Gottfrid Lindgren	Male	1892	1920 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		=9		Sweden
Per Lindholm	Male	1953	1972 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		AC		Sweden
Per Lindholm	Male	1953	1976 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		AC		Sweden
Gustaf Lindstrand	Male	1883	1912 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		AC r3/7		Sweden
Benni Ljungbeck	Male	1958	1980 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Benni Ljungbeck	Male	1958	1984 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		6		Sweden
Benni Ljungbeck	Male	1958	1988 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		AC		Sweden
Mikael Ljungberg	Male	1970	1992 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		4		Sweden
Mikael Ljungberg	Male	1970	1996 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Mikael Ljungberg	Male	1970	2000 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Carl Erik Lund	Male	1884	1908 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		=9		Sweden
Carl Erik Lund	Male	1884	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r7/8		Sweden
Lennart Lundell	Male	1953	1976 Summer Olympics	Wrestling	Lightweight, Freestyle, Men	Olympic		AC		Sweden
Lennart Lundell	Male	1953	1980 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		5		Sweden
Lennart Lundell	Male	1953	1984 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		AC		Sweden
Anders Magnusson	Male	1968	1996 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		17		Sweden
Algot Malmberg	Male	1903	1928 Summer Olympics	Wrestling	Lightweight, Freestyle, Men	Olympic		=10		Sweden
Erik Malmberg	Male	1897	1924 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Erik Malmberg	Male	1897	1928 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Erik Malmberg	Male	1897	1932 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Lars Malmkvist	Male	1955	1976 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC		Sweden
Lars Malmkvist	Male	1955	1980 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC		Sweden
Gustaf Malmström	Male	1884	1908 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		=5		Sweden
Gustaf Malmström	Male	1884	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Edvin Mathiasson	Male	1890	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Göte Melin	Male	1910	1936 Summer Olympics	Wrestling	Lightweight, Freestyle, Men	Olympic		AC		Sweden
Viktor Melin	Male	1891	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r1/8		Sweden
Frithiof Mårtensson	Male	1884	1908 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Malte Möller	Male	1914	1948 Summer Olympics	Wrestling	Flyweight, Greco-Roman, Men	Olympic		4		Sweden
Ernst Nilsson	Male	1891	1912 Summer Olympics	Wrestling	Middleweight B, Greco-Roman, Men	Olympic		AC r4/7		Sweden
Ernst Nilsson	Male	1891	1920 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		AC r3/5		Sweden
Ernst Nilsson	Male	1891	1920 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		=3	Bronze	Sweden
Ernst Nilsson	Male	1891	1924 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		=5		Sweden
Ernst Nilsson	Male	1891	1924 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		=4		Sweden
Gustaf Nilsson	Male	1899	1920 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r2/5		Sweden
Harry Nilsson	Male	1897	1924 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		=9		Sweden
Harry Nilsson	Male	1897	1924 Summer Olympics	Wrestling	Middleweight, Freestyle, Men	Olympic		=9		Sweden
Johan Nilsson	Male	1890	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r6/8		Sweden
Karl-Erik Nilsson	Male	1922	1948 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Karl-Erik Nilsson	Male	1922	1952 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Karl-Erik Nilsson	Male	1922	1956 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Sverre Nilsson	Male	1899	1924 Summer Olympics	Wrestling	Featherweight, Freestyle, Men	Olympic		=8		Sweden
Tor Nilsson	Male	1919	1948 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
John Nyman	Male	1908	1936 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Bertil Nyström	Male	1935	1960 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		11		Sweden
Bertil Nyström	Male	1935	1964 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Bertil Nyström	Male	1935	1968 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		AC		Sweden
Sven Ohlsson	Male	1886	1912 Summer Olympics	Wrestling	Middleweight A, Greco-Roman, Men	Olympic		AC r2/8		Sweden
Sven Ohlsson	Male	1886	1920 Summer Olympics	Wrestling	Light-Heavyweight, Greco-Roman, Men	Olympic		AC r2/5		Sweden
Herbert Olofsson	Male	1910	1936 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		4		Sweden
Erik Olsson	Male	1930	1964 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC		Sweden
Jörgen Olsson	Male	1968	1992 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		AC		Sweden
Viking Palm	Male	1923	1952 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		1	Gold	Sweden
Viking Palm	Male	1923	1956 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Viking Palm	Male	1923	1960 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		4		Sweden
Erik Persson	Male	1914	1948 Summer Olympics	Wrestling	Bantamweight, Freestyle, Men	Olympic		=5		Sweden
Ewald Persson	Male	1891	1912 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		AC r2/8		Sweden
Gunnar Persson	Male	1884	1908 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		4		Sweden
Hubert Persson	Male	1918	1952 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		4		Sweden
Stig Persson	Male	1934	1964 Summer Olympics	Wrestling	Middleweight, Greco-Roman, Men	Olympic		AC		Sweden
Kurt Pettersén	Male	1916	1948 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Harald Pettersson	Male	1903	1928 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		=9		Sweden
Matti Poikala	Male	1935	1964 Summer Olympics	Wrestling	Lightweight, Freestyle, Men	Olympic		AC		Sweden
Johan Richthoff	Male	1898	1924 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		=4		Sweden
Johan Richthoff	Male	1898	1928 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		1	Gold	Sweden
Johan Richthoff	Male	1898	1932 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		1	Gold	Sweden
Arne Robertsson	Male	1942	1964 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Arne Robertsson	Male	1942	1968 Summer Olympics	Wrestling	Heavyweight, Freestyle, Men	Olympic		AC		Sweden
Arne Robertsson	Male	1942	1976 Summer Olympics	Wrestling	Super-Heavyweight, Greco-Roman, Men	Olympic		AC		Sweden
Rudolf Rydström	Male	1886	1912 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		AC r2/8		Sweden
Alrik Sandberg	Male	1885	1912 Summer Olympics	Wrestling	Heavyweight, Greco-Roman, Men	Olympic		AC r2/7		Sweden
Ivar Sjölin	Male	1918	1948 Summer Olympics	Wrestling	Featherweight, Freestyle, Men	Olympic		2	Silver	Sweden
Thure Sjöstedt	Male	1903	1928 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		1	Gold	Sweden
Thure Sjöstedt	Male	1903	1932 Summer Olympics	Wrestling	Light-Heavyweight, Freestyle, Men	Olympic		2	Silver	Sweden
Lars-Erik Skiöld	Male	1952	1976 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		4		Sweden
Lars-Erik Skiöld	Male	1952	1980 Summer Olympics	Wrestling	Lightweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
Peter Stjernberg	Male	1970	1988 Summer Olympics	Wrestling	Flyweight, Greco-Roman, Men	Olympic		8		Sweden
Rudolf Svedberg	Male	1910	1936 Summer Olympics	Wrestling	Welterweight, Greco-Roman, Men	Olympic		1	Gold	Sweden
Egon Svensson	Male	1913	1936 Summer Olympics	Wrestling	Bantamweight, Greco-Roman, Men	Olympic		2	Silver	Sweden
Fritiof Svensson	Male	1896	1920 Summer Olympics	Wrestling	Featherweight, Greco-Roman, Men	Olympic		3	Bronze	Sweden
